"Dimension"	"CPLEX Time"	"CPLEX Sol."	"GA Sol."	"GA Time"	
10	622	314.88	60	314.88
100	-1	-1	55321	604.14
15	909	313.65	924	313.65
20	22780	338.98	1613	338.98
25	295648	326.15	2563	326.15
30	31498	312.37	3654	312.37
35	300012	310.86	4984	309.17
40	300017	340.49	6593	346.69
45	300039	321.19	8528	326.75
5	22	286.25	2	286.25
50	300025	286.89	10751	286.29
55	281920	322.64	13107	356.31
60	300054	399.53	15976	421.54
65	300037	334.34	21671	345.76
70	300040	441.33	24736	370.35
75	300068	441.71	28754	443.03
80	-1	-1	33572	408.46
85	300094	713.84	38738	438.05
90	300081	526.96	44821	476.51
95	-1	-1	50233	519.33
10	618	189.01	349	189.01
100	-1	-1	56794	482.19
15	4353	246.41	935	246.41
20	8802	308.1	1622	308.1
25	237600	342.69	2561	342.69
30	127822	385.31	3700	385.31
35	269967	356.97	4971	356.97
40	300026	391.32	6559	390.16
45	300032	326.82	8598	322.34
5	106	294.17	2	294.17
